timestamp,cwnd,ssthresh,fase
286.178561,1,2,TIMEOUT
290.315928,1,2,TIMEOUT
290.512762,3,2,SLOW_START
298.787494,1,2,TIMEOUT
299.007917,2,2,SLOW_START
315.557383,1,2,TIMEOUT
315.760517,3,2,SLOW_START
315.962842,3.33,2,CONG_AVOID
315.963398,3.63,2,CONG_AVOID
315.974981,3.91,2,CONG_AVOID
316.143873,4.16,2,CONG_AVOID
316.327706,4.88,2,CONG_AVOID
316.373169,5.09,2,CONG_AVOID
316.520512,5.29,2,CONG_AVOID
316.536083,5.66,2,CONG_AVOID
316.747536,5.83,2.83,FAST_RETX
317.006264,1,2.92,TIMEOUT
317.225875,6,2.92,SLOW_START
317.444444,6.33,2.92,CONG_AVOID
317.444454,6.49,2.92,CONG_AVOID
317.444464,6.65,2.92,CONG_AVOID
317.444474,6.8,2.92,CONG_AVOID
317.655564,7.24,2.92,CONG_AVOID
317.655574,7.38,2.92,CONG_AVOID
317.655584,7.51,2.92,CONG_AVOID
317.655594,7.64,2.92,CONG_AVOID
317.871345,6.82,3.82,FAST_RETX
318.054358,7.85,3.82,CONG_AVOID
318.272932,8.1,3.82,CONG_AVOID
318.272942,8.23,3.82,CONG_AVOID
318.280551,8.47,3.82,CONG_AVOID
318.280561,8.59,3.82,CONG_AVOID
318.280571,8.7,3.82,CONG_AVOID
318.481282,8.93,3.82,CONG_AVOID
318.481302,9.16,3.82,CONG_AVOID
318.485081,9.27,3.82,CONG_AVOID
318.660337,7.63,4.63,FAST_RETX
318.909598,1,3.82,TIMEOUT
319.083034,5,3.82,SLOW_START
319.581555,1,2.5,TIMEOUT
319.759744,6,2.5,SLOW_START
319.939682,6.17,2.5,CONG_AVOID
319.970336,6.33,2.5,CONG_AVOID
320.165282,6.16,3.16,FAST_RETX
320.347366,7.14,3.16,CONG_AVOID
320.553511,7.28,3.16,CONG_AVOID
320.568702,7.55,3.16,CONG_AVOID
320.578212,6.78,3.78,FAST_RETX
320.800428,7.51,3.78,CONG_AVOID
321.006692,6.76,3.76,FAST_RETX
321.190749,6.91,3.76,CONG_AVOID
321.44201,1,3.45,TIMEOUT
321.635558,7,3.45,SLOW_START
321.839253,7.14,3.45,CONG_AVOID
321.864223,7.28,3.45,CONG_AVOID
321.864233,7.42,3.45,CONG_AVOID
321.864243,7.55,3.45,CONG_AVOID
321.864253,7.69,3.45,CONG_AVOID
321.864263,7.82,3.45,CONG_AVOID
321.864273,7.95,3.45,CONG_AVOID
322.088228,6.97,3.97,FAST_RETX
322.35499,1,3.49,TIMEOUT
322.566862,4,3.49,SLOW_START
323.100385,1,2,TIMEOUT
323.296567,2,2,SLOW_START
324.363614,1,2,TIMEOUT
324.580774,4,2,SLOW_START
324.778361,4.25,2,CONG_AVOID
324.778371,4.49,2,CONG_AVOID
324.78371,4.71,2,CONG_AVOID
324.795065,4.92,2,CONG_AVOID
324.991723,5.12,2,CONG_AVOID
325.003044,5.32,2,CONG_AVOID
325.014344,5.51,2,CONG_AVOID
325.014354,5.69,2,CONG_AVOID
325.192084,5.86,2,CONG_AVOID
325.192094,6.03,2,CONG_AVOID
325.225833,6.37,2,CONG_AVOID
325.225843,6.52,2,CONG_AVOID
325.379018,6.68,2,CONG_AVOID
325.424908,6.98,2,CONG_AVOID
325.449473,7.12,2,CONG_AVOID
325.597294,6.56,3.56,FAST_RETX
325.800061,7.32,3.56,CONG_AVOID
326.060126,1,3.66,TIMEOUT
326.271559,3,3.66,SLOW_START
326.791689,1,2,TIMEOUT
326.987698,2,2,SLOW_START
328.027957,1,2,TIMEOUT
328.226254,5,2,SLOW_START
330.306772,1,2.5,TIMEOUT
330.499061,2,2.5,SLOW_START
334.660097,1,2,TIMEOUT
334.853523,2,2,SLOW_START
343.175595,1,2,TIMEOUT
359.819738,1,2,TIMEOUT
360.003985,3,2,SLOW_START
393.292271,1,2,TIMEOUT
393.483952,4,2,SLOW_START
393.684952,4.25,2,CONG_AVOID
393.684962,4.49,2,CONG_AVOID
393.684972,4.71,2,CONG_AVOID
393.896108,5.35,2.35,FAST_RETX
394.094546,6.1,2.35,CONG_AVOID
394.321711,6.05,3.05,FAST_RETX
394.514917,6.38,3.05,CONG_AVOID
394.761376,1,3.19,TIMEOUT
394.962737,7,3.19,SLOW_START
395.19084,7.29,3.19,CONG_AVOID
395.19085,7.42,3.19,CONG_AVOID
395.19086,7.56,3.19,CONG_AVOID
395.19087,7.69,3.19,CONG_AVOID
395.413588,6.85,3.85,FAST_RETX
395.686483,1,3.42,TIMEOUT
396.232273,1,2,TIMEOUT
396.418788,7,2,SLOW_START
396.632857,6.5,3.5,FAST_RETX
396.817573,7.12,3.5,CONG_AVOID
397.033416,6.56,3.56,FAST_RETX
398.124996,1,3.28,TIMEOUT
398.333829,8,3.28,SLOW_START
400.516988,1,4.0,TIMEOUT
404.883306,1,2,TIMEOUT
405.103532,5,2,SLOW_START
413.836167,1,2.5,TIMEOUT
414.012566,5,2.5,SLOW_START
431.477837,1,2.5,TIMEOUT
431.68417,5,2.5,SLOW_START
466.614712,1,2.5,TIMEOUT
466.790182,2,2.5,SLOW_START
526.790182,1,2,TIMEOUT
526.993586,3,2,SLOW_START
586.993586,1,2,TIMEOUT
646.993586,1,2,TIMEOUT
647.190217,4,2,SLOW_START
707.190217,1,2,TIMEOUT
707.380893,5,2,SLOW_START
707.593737,5.2,2,CONG_AVOID
707.781134,5.6,2.6,FAST_RETX
707.966716,6.49,2.6,CONG_AVOID
708.156992,6.65,2.6,CONG_AVOID
708.157031,6.8,2.6,CONG_AVOID
708.354373,6.4,3.4,FAST_RETX
708.542432,6.87,3.4,CONG_AVOID
708.818358,1,3.43,TIMEOUT
