timestamp,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_pacote,tamanho_payload,ip_ttl,flags_tcp,numero_sequencia_tcp,numero_ack_tcp,tamanho_janela_tcp,auth_header_presente
1779981507.947052,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.95018,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.950436,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.950748,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.95087,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.953559,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.953729,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981507.955506,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981507.955816,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.160017,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.160371,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.160497,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.160672,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.160918,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.161277,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.161724,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.162013,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.162159,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.162228,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.162288,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.162347,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.162367,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.162627,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.162668,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.162705,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.163021,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.163147,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.163276,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.163396,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.212983,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.213431,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.213691,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.213768,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.214952,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.215066,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.21532,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.215395,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.216246,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.216531,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.217913,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.218011,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.218641,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.218713,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.219475,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.219551,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
1779981508.220795,UDP,172.18.0.4,44255,172.18.0.2,5000,1130,1088,64,,,,,Sim
1779981508.220861,UDP,172.18.0.2,5000,172.18.0.4,44255,106,64,64,,,,,Sim
